company,year,bankrupt,Attr27,Attr35,Attr21,Attr46,Attr24,Attr25,Attr40,Attr34,Attr58,Attr29,Attr11,Attr57,Attr13,Attr16,Attr47,Attr55,Attr6,Attr64,Attr12,Attr48
Umeme Ltd,2025,1,-4.089457,-1.222332,0.22898,0.288181,3.215895,-2.663659,0.238296,1.103615,1.03546,11.872786,0.995855,-0.822939,0.188446,0.20085,0.0,-353989,-4.566515,,0.20085,-1.222332
Umeme Ltd,2024,1,-19.81484,-0.416895,,1.147235,,0.153907,0.888959,1.600372,0.793171,14.143892,0.612863,0.212807,0.657096,1.325815,17.000744,238449,-0.050655,763.194197,0.716396,0.086553
Uganda Clays Ltd,2025,0,1.169609,0.056955,1.101505,0.479077,0.144344,0.459792,0.050133,0.707498,0.866696,18.205043,0.234623,-0.47233,0.537274,0.438586,144.803307,256377,0.28501,0.529491,1.026118,0.103059
Uganda Clays Ltd,2024,1,-0.862229,-0.036208,,0.43629,,0.489473,0.051038,0.873911,1.053463,18.151248,0.150434,-0.576251,0.411157,0.341079,117.261933,-3231563,0.298906,0.521566,0.435419,0.025463
Stanbic Uganda Holdings,2025,0,6.227294,0.0645,1.109578,1.257,0.11874,0.200013,0.701688,0.07389,0.470609,23.167754,0.135266,-51.118515,1.032021,0.162037,,2356271735,0.180214,14.866936,0.157009,0.0685
Stanbic Uganda Holdings,2024,0,7.385634,0.06264,,1.246437,,0.192788,0.721931,0.073425,0.471941,23.064475,0.133302,-43.688961,1.036256,0.161222,,2054992014,0.177614,15.73824,0.155581,0.067166
DFCU Bank,2025,0,0.754961,0.022621,1.155736,1.24503,0.131112,0.156741,0.824081,0.106226,0.606898,15.135617,0.170547,-38.487725,1.036373,0.181398,,736809,0.131166,3.055139,0.175031,0.027735
DFCU Bank,2024,0,0.816714,0.023419,,1.244618,,0.153292,0.838323,0.102638,0.628056,15.059176,0.159977,-36.097384,1.041467,0.170199,,681663,0.128759,2.847205,0.163422,0.028863
MTN Uganda Ltd,2024,0,3.993233,0.248249,,0.793691,0.55281,0.251446,0.773897,0.262494,0.634549,9.669373,0.614978,-4.798409,0.970087,0.886005,5.025041,-447265632,0.251446,1.090093,1.169701,0.354415
MTN Uganda Ltd,2025,0,4.381439,0.258867,1.13595,0.783787,0.5559,0.224681,0.76296,0.247434,0.615139,9.729018,0.614982,-7.775369,0.979166,0.854075,3.468013,-577876566,0.224681,1.113784,1.103109,0.361579
EABL PLC,2024,0,3.037919,0.200391,,0.80089,0.431785,0.282912,0.450845,0.269975,0.799422,8.094284,0.497748,-0.115531,0.498246,0.706715,65.404533,5434230,0.135186,1.50146,1.484483,0.266388
EABL PLC,2025,0,4.193753,0.192013,1.03754,0.748557,0.412526,0.31052,0.371843,0.278684,0.80456,8.117566,0.458311,-0.165463,0.483283,0.700914,77.535338,4859693,0.152163,1.562296,1.234861,0.254297
Equity Group Holdings PLC,2024,0,0.986456,0.033658,,0.747128,0.066614,0.135752,0.221221,0.064341,0.665871,6.256387,0.100735,-7.373334,0.706121,0.082404,,-393913,0.129021,1.9933,0.077171,0.038175
Equity Group Holdings PLC,2025,0,1.972526,0.046735,1.101211,0.773195,0.077874,0.164494,0.23671,0.058729,0.539858,6.294685,0.101567,-10.10422,0.815563,0.099257,,-373068,0.141308,2.034844,0.093313,0.051696
KCB Group PLC,2024,0,1.159461,0.041137,,0.656193,0.060083,0.142569,0.068134,0.049823,0.569527,6.29277,0.095562,-9.642906,0.680708,0.076011,,-577369,0.123867,1.630643,0.070207,0.046104
KCB Group PLC,2025,0,1.464007,0.040566,1.083589,0.76188,0.066925,0.157107,0.126353,0.047869,0.571336,6.331874,0.094634,-8.414505,0.748394,0.084174,,-430200,0.135141,1.693325,0.079541,0.044465
Absa Bank Uganda Ltd,2024,0,1.864713,0.043002,,0.55771,0.104081,0.130527,0.121684,0.099945,0.661781,6.734939,0.127142,-17.174609,0.829482,0.125272,,-2022482,0.102072,6.090054,0.123632,0.044382
Absa Bank Uganda Ltd,2025,0,1.755689,0.041295,1.200802,0.482731,0.094427,0.116397,0.129856,0.088896,0.649887,6.847009,0.117948,-19.92707,0.81023,0.110829,,-3135943,0.111244,6.910501,0.10951,0.042433
Britam Holdings PLC,2024,0,25.8505,0.035155,,1.344844,0.024298,0.140082,1.027831,0.203765,0.804802,8.319172,0.025658,0.073048,0.149293,0.031312,0,2333866,-0.008589,13.071136,0.748678,0.037745
Britam Holdings PLC,2025,0,53.392182,0.032422,1.109101,1.492998,0.014173,0.14276,1.075685,0.198294,0.810248,8.387003,0.014781,0.087533,0.096635,0.019285,0,3293778,0.002217,12.996044,0.517166,0.03476
AB InBev,2025,0,3.2139,0.0725,0.9925,0.5703,0.1513,0.4387,0.4467,0.359,0.7327,5.3401,0.1742,-0.723,0.6546,0.3207,71.3077,-9706,0.2291,0.3057,0.9624,0.0983
AB InBev,2024,0,3.0318,0.0748,,0.5437,0.1598,0.4209,0.4291,0.3757,0.7413,5.3152,0.1845,-0.7117,0.6453,0.327,68.5126,-10067,0.2254,0.3255,0.9987,0.1017
Bank of Baroda Uganda,2025,0,1.6869,0.0583,1.0961,1.2815,0.0698,0.2176,1.2762,0.0679,0.4628,9.5438,0.1085,6.1798,0.6896,0.1012,,728048380,0.1894,11.4679,0.1,0.0592
Bank of Baroda Uganda,2024,0,1.4837,0.056,,1.2741,0.0746,0.2133,1.271,0.0763,0.5014,9.489,0.1123,5.5023,0.6726,0.1024,,623724104,0.193,10.1077,0.101,0.057
